PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Title,Fare_interval
1,0,3,0,22.0,1,0,,2,0.0,0
2,1,1,1,38.0,1,0,C85,1,3.0,8
3,1,3,1,26.0,0,0,,2,2.0,2
4,1,1,1,35.0,1,0,C123,2,3.0,8
5,0,3,0,35.0,0,0,,2,0.0,2
6,0,3,0,,0,0,,3,0.0,3
7,0,1,0,54.0,0,0,E46,2,0.0,8
8,0,3,0,2.0,3,1,,2,1.0,5
9,1,3,1,27.0,0,2,,2,3.0,4
10,1,2,1,14.0,1,0,,1,3.0,7
11,1,3,1,4.0,1,1,G6,2,2.0,5
12,1,1,1,58.0,0,0,C103,2,2.0,6
13,0,3,0,20.0,0,0,,2,0.0,2
14,0,3,0,39.0,1,5,,2,0.0,7
15,0,3,1,14.0,0,0,,2,2.0,1
16,1,2,1,55.0,0,0,,2,3.0,5
17,0,3,0,2.0,4,1,,3,1.0,7
18,1,2,0,,0,0,,2,0.0,4
19,0,3,1,31.0,1,0,,2,3.0,5
20,1,3,1,,0,0,,1,3.0,0
21,0,2,0,35.0,0,0,,2,0.0,6
22,1,2,0,34.0,0,0,D56,2,0.0,4
23,1,3,1,15.0,0,0,,3,2.0,2
24,1,1,0,28.0,0,0,A6,2,0.0,7
25,0,3,1,8.0,3,1,,2,2.0,5
26,1,3,1,38.0,1,5,,2,3.0,7
27,0,3,0,,0,0,,1,0.0,0
28,0,1,0,19.0,3,2,C23 C25 C27,2,0.0,9
29,1,3,1,,0,0,,3,2.0,2
30,0,3,0,,0,0,,2,0.0,2
31,0,1,0,40.0,0,0,,1,4.0,7
32,1,1,1,,1,0,B78,1,3.0,9
33,1,3,1,,0,0,,3,2.0,1
34,0,2,0,66.0,0,0,,2,0.0,3
35,0,1,0,28.0,1,0,,1,0.0,9
36,0,1,0,42.0,1,0,,2,0.0,8
37,1,3,0,,0,0,,1,0.0,0
38,0,3,0,21.0,0,0,,2,0.0,2
39,0,3,1,18.0,2,0,,2,2.0,5
40,1,3,1,14.0,1,0,,1,2.0,4
41,0,3,1,40.0,1,0,,2,3.0,3
42,0,2,1,27.0,1,0,,2,3.0,5
43,0,3,0,,0,0,,1,0.0,2
44,1,2,1,3.0,1,2,,1,2.0,8
45,1,3,1,19.0,0,0,,3,2.0,2
46,0,3,0,,0,0,,2,0.0,2
47,0,3,0,,1,0,,3,0.0,5
48,1,3,1,,0,0,,3,2.0,1
49,0,3,0,,2,0,,1,0.0,5
50,0,3,1,18.0,1,0,,2,3.0,5
51,0,3,0,7.0,4,1,,2,1.0,7
52,0,3,0,21.0,0,0,,2,0.0,1
53,1,1,1,49.0,1,0,D33,1,3.0,8
54,1,2,1,29.0,1,0,,2,3.0,6
55,0,1,0,65.0,0,1,B30,1,0.0,8
56,1,1,0,,0,0,C52,2,0.0,7
57,1,2,1,21.0,0,0,,2,2.0,3
58,0,3,0,28.5,0,0,,1,0.0,0
59,1,2,1,5.0,1,2,,2,2.0,7
60,0,3,0,11.0,5,2,,2,1.0,8
61,0,3,0,22.0,0,0,,1,0.0,0
62,1,1,1,38.0,0,0,B28,2,2.0,9
63,0,1,0,45.0,1,0,C83,2,0.0,9
64,0,3,0,4.0,3,2,,2,1.0,7
65,0,1,0,,0,0,,1,0.0,7
66,1,3,0,,1,1,,1,1.0,5
67,1,2,1,29.0,0,0,F33,2,3.0,3
68,0,3,0,19.0,0,0,,2,0.0,3
69,1,3,1,17.0,4,2,,2,2.0,2
70,0,3,0,26.0,2,0,,2,0.0,3
71,0,2,0,32.0,0,0,,2,0.0,3
72,0,3,1,16.0,5,2,,2,2.0,8
73,0,2,0,21.0,0,0,,2,0.0,8
74,0,3,0,26.0,1,0,,1,0.0,4
75,1,3,0,32.0,0,0,,2,0.0,8
76,0,3,0,25.0,0,0,F G73,2,0.0,1
77,0,3,0,,0,0,,2,0.0,2
78,0,3,0,,0,0,,2,0.0,2
79,1,2,0,0.83,0,2,,2,1.0,7
80,1,3,1,30.0,0,0,,2,2.0,4
81,0,3,0,22.0,0,0,,2,0.0,3
82,1,3,0,29.0,0,0,,2,0.0,3
83,1,3,1,,0,0,,3,2.0,1
84,0,1,0,28.0,0,0,,2,0.0,8
85,1,2,1,17.0,0,0,,2,2.0,3
86,1,3,1,33.0,3,0,,2,3.0,5
87,0,3,0,16.0,1,3,,2,0.0,7
