PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Title,Fare_interval,Age_interval
1,0,3,0,1,0,,2,0.0,0,2
2,1,1,1,1,0,C85,1,3.0,8,4
3,1,3,1,0,0,,2,2.0,2,3
4,1,1,1,1,0,C123,2,3.0,8,4
5,0,3,0,0,0,,2,0.0,2,4
6,0,3,0,0,0,,3,0.0,3,3
7,0,1,0,0,0,E46,2,0.0,8,6
8,0,3,0,3,1,,2,1.0,5,0
9,1,3,1,0,2,,2,3.0,4,3
10,1,2,1,1,0,,1,3.0,7,1
11,1,3,1,1,1,G6,2,2.0,5,0
12,1,1,1,0,0,C103,2,2.0,6,7
13,0,3,0,0,0,,2,0.0,2,2
14,0,3,0,1,4,,2,0.0,7,4
15,0,3,1,0,0,,2,2.0,1,1
16,1,2,1,0,0,,2,3.0,5,6
17,0,3,0,4,1,,3,1.0,7,0
18,1,2,0,0,0,,2,0.0,4,3
19,0,3,1,1,0,,2,3.0,5,3
20,1,3,1,0,0,,1,3.0,0,4
21,0,2,0,0,0,,2,0.0,6,4
22,1,2,0,0,0,D56,2,0.0,4,4
23,1,3,1,0,0,,3,2.0,2,1
24,1,1,0,0,0,A6,2,0.0,7,3
25,0,3,1,3,1,,2,2.0,5,0
26,1,3,1,1,4,,2,3.0,7,4
27,0,3,0,0,0,,1,0.0,0,3
28,0,1,0,3,2,C23 C25 C27,2,0.0,9,2
29,1,3,1,0,0,,3,2.0,2,2
30,0,3,0,0,0,,2,0.0,2,3
31,0,1,0,0,0,,1,4.0,7,4
32,1,1,1,1,0,B78,1,3.0,9,4
33,1,3,1,0,0,,3,2.0,1,2
34,0,2,0,0,0,,2,0.0,3,8
35,0,1,0,1,0,,1,0.0,9,3
36,0,1,0,1,0,,2,0.0,8,5
37,1,3,0,0,0,,1,0.0,0,3
38,0,3,0,0,0,,2,0.0,2,2
39,0,3,1,2,0,,2,2.0,5,2
40,1,3,1,1,0,,1,2.0,4,1
41,0,3,1,1,0,,2,3.0,3,4
42,0,2,1,1,0,,2,3.0,5,3
43,0,3,0,0,0,,1,0.0,2,3
44,1,2,1,1,2,,1,2.0,8,0
45,1,3,1,0,0,,3,2.0,2,2
46,0,3,0,0,0,,2,0.0,2,3
47,0,3,0,1,0,,3,0.0,5,3
48,1,3,1,0,0,,3,2.0,1,2
49,0,3,0,2,0,,1,0.0,5,3
50,0,3,1,1,0,,2,3.0,5,2
51,0,3,0,4,1,,2,1.0,7,0
52,0,3,0,0,0,,2,0.0,1,2
53,1,1,1,1,0,D33,1,3.0,8,6
54,1,2,1,1,0,,2,3.0,6,3
55,0,1,0,0,1,B30,1,0.0,8,8
56,1,1,0,0,0,C52,2,0.0,7,3
57,1,2,1,0,0,,2,2.0,3,2
58,0,3,0,0,0,,1,0.0,0,3
59,1,2,1,1,2,,2,2.0,7,0
60,0,3,0,5,2,,2,1.0,8,1
61,0,3,0,0,0,,1,0.0,0,2
62,1,1,1,0,0,B28,2,2.0,9,4
63,0,1,0,1,0,C83,2,0.0,9,5
64,0,3,0,3,2,,2,1.0,7,0
65,0,1,0,0,0,,1,0.0,7,3
66,1,3,0,1,1,,1,1.0,5,0
67,1,2,1,0,0,F33,2,3.0,3,3
