"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"세종시청 정문",무인대여소,,세종특별자치시 보람동 666,36.478725,127.288507,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"보람동 시드니하트",무인대여소,,세종특별자치시 보람동 616-1,36.484045,127.294110,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종시청 후문",무인대여소,,세종특별자치시 보람동 663,36.480258,127.288405,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종시청후문 잔디광장",무인대여소,,세종특별자치시 보람동 626-2,36.4808265151,127.2888087478,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"신동아파밀리에4차 302동 건너편",무인대여소,,세종특별자치시 보람동 664-47,36.477518,127.281104,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종시 교육청",무인대여소,,세종특별자치시 보람동 664-17,36.477736,127.286182,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"세종우체국 건너편",무인대여소,,세종특별자치시 보람동 623-5,36.482037,127.2920729750,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을315동앞",무인대여소,,세종특별자치시 보람동 617-5,36.4837468243,127.2946987312,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"호려울마을8단지정문",무인대여소,,세종특별자치시 보람동 638-1,36.478090,127.295555,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"호려울마을8단지버스정류장",무인대여소,,세종특별자치시 보람동 635-8,36.479951,127.297308,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을511동건너편",무인대여소,,세종특별자치시 반곡동 203-278,36.481427,127.307880,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을216동앞BRT",무인대여소,,세종특별자치시 소담동 32-123,36.4829318302,127.2979440429,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을217동앞BRT",무인대여소,,세종특별자치시 소담동 32-127,36.483134,127.298771,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을308동앞BRT",무인대여소,,세종특별자치시 소담동 32-123,36.4829318302,127.297934,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을307동앞BRT",무인대여소,,세종특별자치시 소담동 32-127,36.483792,127.298764,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을316동앞",무인대여소,,세종특별자치시 소담동 333-7,36.484831,127.295217,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을316동건너편",무인대여소,,세종특별자치시 소담동 333-1,36.485029,127.294893,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을301동건너편",무인대여소,,세종특별자치시 소담동 333-6,36.485517,127.295293,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"별뜰근린공원",무인대여소,,세종특별자치시 다정동 409,36.4995126626,127.2359060424,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"글벗초등학교건너편(금강쪽)",무인대여소,,세종특별자치시 소담동 509-6,36.487322,127.2969028161,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을803동앞BRT",무인대여소,,세종특별자치시 소담동 332-4,36.4873803230,127.3013539524,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을803동건너편BRT",무인대여소,,세종특별자치시 소담동 332-4,36.4873803230,127.3013539524,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을512동버스정류장",무인대여소,,세종특별자치시 소담동 9-3,36.481462,127.307428,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을511동버스정류장",무인대여소,,세종특별자치시 소담동 9-220,36.480931,127.307691,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을512동버스정류장건너편",무인대여소,,세종특별자치시 반곡동 203-278,36.481517,127.307863,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을511동버스정류장건너편",무인대여소,,세종특별자치시 소담동 9-5,36.481066,127.308087,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새샘마을902동앞",무인대여소,,세종특별자치시 소담동 283-5,36.490075,127.298625,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
