순위,국가,1인당_GDP,영문
1,룩셈부르크,"113,196",Luxembourg
2,스위스,"83,717",Switzerland
3,노르웨이,"77,975",Norway
4,아일랜드,"77,771",Ireland
5,카타르,"69,688",Qatar
6,아이슬란드,"67,037",Iceland
7,미국,"65,112",United States of America
8,싱가포르,"63,987",Singapore
9,덴마크,"59,795",Denmark
10,오스트레일리아,"53,825",Australia
11,네덜란드,"52,368",Netherlands
12,스웨덴,"51,242",Sweden
13,오스트리아,"50,023",Austria
14,핀란드,"48,869",Finland
15,산마리노,"47,280",San Marino
16,독일,"46,564",Germany
17,캐나다,"46,213",Canada
18,벨기에,"45,176",Belgium
19,이스라엘,"42,823",Israel
20,프랑스,"41,761",France
21,영국,"41,030",United Kingdom
22,일본,"40,847",Japan
23,뉴질랜드,"40,634",New Zealand
24,아랍에미리트,"37,750",United Arab Emirates
25,바하마,"33,261",Bahamas
26,이탈리아,"32,947",Italy
27,대한민국,"31,431",Republic of Korea
28,몰타,"30,650",Malta
29,스페인,"29,961",Spain
30,쿠웨이트,"29,267",Kuwait
31,브루나이,"27,871",Brunei Darussalam
32,키프로스,"27,720",Cyprus
33,슬로베니아,"26,170",Slovenia
34,바레인,"25,273",Bahrain
36,에스토니아,"23,524",Estonia
37,체코,"23,214",Czech Republic
38,포르투갈,"23,031",Portugal
39,사우디아라비아,"22,865",Saudi Arabia
40,그리스,"19,974",Greece
41,슬로바키아,"19,548",Slovakia
42,리투아니아,"19,267",Lithuania
43,세인트키츠 네비스,"18,246",Saint Kitts and Nevis
44,라트비아,"18,172",Latvia
45,앤티가 바부다,"18,109",Antigua and Barbuda
46,바베이도스,"18,069",Barbados
47,오만,"17,791",Oman
48,헝가리,"17,463",Hungary
49,세이셸,"17,052",Seychelles
50,우루과이,"17,029",Uruguay
51,팔라우,"16,736",Palau
52,트리니다드 토바고,"16,366",Trinidad and Tobago
53,파나마,"16,245",Panama
54,몰디브,"15,563",Maldives
55,칠레,"15,399",Chile
56,크로아티아,"14,950",Croatia
57,폴란드,"14,902",Poland
58,루마니아,"12,483",Romania
59,코스타리카,"12,015",Costa Rica
60,그레나다,"11,381",Grenada
61,모리셔스,"11,361",Mauritius
62,러시아,"11,163",Russia
63,말레이시아,"11,137",Malaysia
64,세인트루시아,"11,076",Saint Lucia
65,멕시코,"10,118",Mexico
66,중화인민공화국,"10,099",China
67,아르헨티나,"9,888",Argentina
68,레바논,"9,655",Lebanon
69,불가리아,"9,518",Bulgaria
70,카자흐스탄,"9,139",Kazakhstan
71,터키,"8,958",Turkey
72,적도 기니,"8,927",Equatorial Guinea
73,브라질,"8,797",Brazil
74,몬테네그로,"8,704",Montenegro
75,도미니카 공화국,"8,629",Dominican Republic
76,도미니카 연방,"8,381",Commonwealth of Dominica
77,나우루,"8,270",Nauru
