age,workclass,education,gender,hours-per-week,occupation,income
39, State-gov, Bachelors, Male,40, Adm-clerical, <=50K
50, Self-emp-not-inc, Bachelors, Male,13, Exec-managerial, <=50K
38, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
53, Private, 11th, Male,40, Handlers-cleaners, <=50K
28, Private, Bachelors, Female,40, Prof-specialty, <=50K
37, Private, Masters, Female,40, Exec-managerial, <=50K
49, Private, 9th, Female,16, Other-service, <=50K
52, Self-emp-not-inc, HS-grad, Male,45, Exec-managerial, >50K
31, Private, Masters, Female,50, Prof-specialty, >50K
42, Private, Bachelors, Male,40, Exec-managerial, >50K
37, Private, Some-college, Male,80, Exec-managerial, >50K
30, State-gov, Bachelors, Male,40, Prof-specialty, >50K
23, Private, Bachelors, Female,30, Adm-clerical, <=50K
32, Private, Assoc-acdm, Male,50, Sales, <=50K
40, Private, Assoc-voc, Male,40, Craft-repair, >50K
34, Private, 7th-8th, Male,45, Transport-moving, <=50K
25, Self-emp-not-inc, HS-grad, Male,35, Farming-fishing, <=50K
32, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
38, Private, 11th, Male,50, Sales, <=50K
43, Self-emp-not-inc, Masters, Female,45, Exec-managerial, >50K
40, Private, Doctorate, Male,60, Prof-specialty, >50K
54, Private, HS-grad, Female,20, Other-service, <=50K
35, Federal-gov, 9th, Male,40, Farming-fishing, <=50K
43, Private, 11th, Male,40, Transport-moving, <=50K
59, Private, HS-grad, Female,40, Tech-support, <=50K
56, Local-gov, Bachelors, Male,40, Tech-support, >50K
19, Private, HS-grad, Male,40, Craft-repair, <=50K
54, ?, Some-college, Male,60, ?, >50K
39, Private, HS-grad, Male,80, Exec-managerial, <=50K
49, Private, HS-grad, Male,40, Craft-repair, <=50K
23, Local-gov, Assoc-acdm, Male,52, Protective-serv, <=50K
20, Private, Some-college, Male,44, Sales, <=50K
45, Private, Bachelors, Male,40, Exec-managerial, <=50K
30, Federal-gov, Some-college, Male,40, Adm-clerical, <=50K
22, State-gov, Some-college, Male,15, Other-service, <=50K
48, Private, 11th, Male,40, Machine-op-inspct, <=50K
21, Private, Some-college, Male,40, Machine-op-inspct, <=50K
19, Private, HS-grad, Female,25, Adm-clerical, <=50K
31, Private, Some-college, Male,38, Sales, >50K
48, Self-emp-not-inc, Assoc-acdm, Male,40, Prof-specialty, <=50K
31, Private, 9th, Male,43, Machine-op-inspct, <=50K
